Trial 38: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.58912037037037, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 39: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 10.131908382789318, 'val_acc': 8.825843476651086, 'test_acc': 8.845527251184834}
Trial 40: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.58449074074074, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 41: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.590277777777779, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 42: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 85.42939814814815, 'val_acc': 22.43254500856204, 'test_acc': 23.070941943127963}
Trial 43: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 94.78356481481481, 'val_acc': 23.441477299023465, 'test_acc': 23.041321090047393}
Trial 44: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.58912037037037, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 45: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.586805555555555, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 46: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 10.087962962962964, 'val_acc': 9.228490766881103, 'test_acc': 8.897363744075829}
Trial 47: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.592915430267063, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 48: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 11.179398148148149, 'val_acc': 9.265515805063174, 'test_acc': 9.234300947867299}
Trial 49: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 76.65972222222223, 'val_acc': 21.039477946961632, 'test_acc': 21.47141587677725}
Trial 50: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.590277777777779, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 51: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.595233679525222, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 52: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 93.85416666666667, 'val_acc': 21.13204054241681, 'test_acc': 21.623222748815166}
Trial 53: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.583333333333334, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 54: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 10.119158011869436, 'val_acc': 8.997084278243163, 'test_acc': 8.83441943127962}
Trial 55: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.585648148148149, 'val_acc': 9.404359698245939, 'test_acc': 9.126925355450236}
Trial 56: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.58912037037037, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 57: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.927083333333334, 'val_acc': 8.946174850742814, 'test_acc': 8.871445497630331}
Trial 58: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.586805555555555, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 59: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.587962962962964, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 60: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.586805555555555, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 61: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.587119807121661, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 62: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.565972222222221, 'val_acc': 9.464525385291804, 'test_acc': 9.145438388625593}
Trial 63: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 10.138863130563799, 'val_acc': 9.390475308927662, 'test_acc': 9.012144549763033}
Trial 64: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.5732103115727, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 65: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 11.359953703703704, 'val_acc': 9.108159392789373, 'test_acc': 9.093601895734597}
Trial 66: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.854166666666666, 'val_acc': 8.997084278243163, 'test_acc': 8.897363744075829}
Trial 67: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.587119807121661, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 68: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.586805555555555, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 69: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.586805555555555, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 70: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 72.32291666666667, 'val_acc': 20.521127412412643, 'test_acc': 20.734597156398106}
Trial 71: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.586805555555555, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 72: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 11.110209569732937, 'val_acc': 8.96468736983385, 'test_acc': 8.86404028436019}
Trial 73: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 11.892618694362017, 'val_acc': 9.862544545749063, 'test_acc': 9.837825829383887}
Trial 74: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.590277777777779, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 75: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 75.69675925925925, 'val_acc': 20.41468042763919, 'test_acc': 21.071534360189574}
Trial 76: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.587962962962964, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 77: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.56973293768546, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 78: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 11.474174703264095, 'val_acc': 9.08039061415282, 'test_acc': 8.908471563981042}
Trial 79: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 94.56944444444444, 'val_acc': 21.118156153098532, 'test_acc': 21.79724526066351}
Trial 80: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.66941765578635, 'val_acc': 8.756421530059702, 'test_acc': 8.678909952606634}
Trial 81: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.594074554896142, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 82: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 15.302083333333334, 'val_acc': 11.070486416439117, 'test_acc': 11.211492890995261}
Trial 83: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 77.16898148148148, 'val_acc': 25.093719627898366, 'test_acc': 25.336937203791468}
Trial 84: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.586805555555555, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 85: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.578703703703704, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 86: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 80.67592592592592, 'val_acc': 23.038830008793447, 'test_acc': 22.737707345971565}
Trial 87: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.584801557863502, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 88: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.616097922848665, 'val_acc': 9.339565881427315, 'test_acc': 9.00103672985782}
Trial 89: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.587962962962964, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 90: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 10.793981481481481, 'val_acc': 9.168325079835238, 'test_acc': 9.493483412322275}
Trial 91: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.585648148148149, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 92: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 84.38194444444444, 'val_acc': 21.817003748785115, 'test_acc': 22.14158767772512}
Trial 93: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 92.74387982195846, 'val_acc': 21.951219512195124, 'test_acc': 21.808353080568722}
