=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-05-16_16-44-15
Total Classes: 20
SNR: 0 dB
fd (Doppler shift): 960.0 Hz
Epoch 26 | Train Loss: 2.4358 | Train Accuracy: 20.06% | Validation Loss: 2.3969 | Validation Accuracy: 21.79%
Epoch 27 | Train Loss: 2.4275 | Train Accuracy: 20.20% | Validation Loss: 2.3949 | Validation Accuracy: 22.11%
Epoch 28 | Train Loss: 2.4140 | Train Accuracy: 20.54% | Validation Loss: 2.3903 | Validation Accuracy: 22.16%
Epoch 29 | Train Loss: 2.4055 | Train Accuracy: 20.76% | Validation Loss: 2.3673 | Validation Accuracy: 22.59%
Epoch 30 | Train Loss: 2.3947 | Train Accuracy: 20.96% | Validation Loss: 2.3634 | Validation Accuracy: 22.70%
Epoch 31 | Train Loss: 2.3896 | Train Accuracy: 21.23% | Validation Loss: 2.3605 | Validation Accuracy: 22.80%
Epoch 32 | Train Loss: 2.3849 | Train Accuracy: 21.49% | Validation Loss: 2.3615 | Validation Accuracy: 22.87%
Epoch 33 | Train Loss: 2.3793 | Train Accuracy: 21.34% | Validation Loss: 2.3547 | Validation Accuracy: 23.01%
Epoch 34 | Train Loss: 2.3752 | Train Accuracy: 21.64% | Validation Loss: 2.3530 | Validation Accuracy: 23.10%
Epoch 35 | Train Loss: 2.3719 | Train Accuracy: 21.59% | Validation Loss: 2.3446 | Validation Accuracy: 23.26%
Epoch 36 | Train Loss: 2.3691 | Train Accuracy: 21.57% | Validation Loss: 2.3444 | Validation Accuracy: 23.35%
Epoch 37 | Train Loss: 2.3647 | Train Accuracy: 21.87% | Validation Loss: 2.3429 | Validation Accuracy: 23.45%
Epoch 38 | Train Loss: 2.3629 | Train Accuracy: 21.95% | Validation Loss: 2.3371 | Validation Accuracy: 23.61%
Epoch 39 | Train Loss: 2.3601 | Train Accuracy: 22.01% | Validation Loss: 2.3379 | Validation Accuracy: 23.64%
Epoch 40 | Train Loss: 2.3543 | Train Accuracy: 22.15% | Validation Loss: 2.3321 | Validation Accuracy: 23.76%
Epoch 41 | Train Loss: 2.3524 | Train Accuracy: 22.08% | Validation Loss: 2.3324 | Validation Accuracy: 23.80%
Epoch 42 | Train Loss: 2.3497 | Train Accuracy: 22.39% | Validation Loss: 2.3319 | Validation Accuracy: 23.92%
Epoch 43 | Train Loss: 2.3495 | Train Accuracy: 22.25% | Validation Loss: 2.3278 | Validation Accuracy: 23.96%
Epoch 44 | Train Loss: 2.3462 | Train Accuracy: 22.33% | Validation Loss: 2.3284 | Validation Accuracy: 23.98%
Epoch 45 | Train Loss: 2.3440 | Train Accuracy: 22.26% | Validation Loss: 2.3274 | Validation Accuracy: 24.03%
Epoch 46 | Train Loss: 2.3447 | Train Accuracy: 22.12% | Validation Loss: 2.3213 | Validation Accuracy: 24.10%
Epoch 47 | Train Loss: 2.3453 | Train Accuracy: 22.31% | Validation Loss: 2.3256 | Validation Accuracy: 24.02%
Epoch 48 | Train Loss: 2.3399 | Train Accuracy: 22.48% | Validation Loss: 2.3238 | Validation Accuracy: 24.12%
