=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-04-29_17-30-34
Total Classes: 20
SNR: 0 dB
fd (Doppler shift): no Hz
Epoch 13 | Train Loss: 0.2073 | Train Accuracy: 93.90% | Validation Loss: 0.6188 | Validation Accuracy: 84.08%
Epoch 14 | Train Loss: 0.1768 | Train Accuracy: 94.73% | Validation Loss: 0.6256 | Validation Accuracy: 84.10%
Epoch 15 | Train Loss: 0.1464 | Train Accuracy: 95.65% | Validation Loss: 0.6246 | Validation Accuracy: 84.39%
Epoch 16 | Train Loss: 0.1242 | Train Accuracy: 96.25% | Validation Loss: 0.6320 | Validation Accuracy: 84.51%
Epoch 17 | Train Loss: 0.1093 | Train Accuracy: 96.69% | Validation Loss: 0.6433 | Validation Accuracy: 84.55%
Epoch 1 | Train Loss: 3.0077 | Train Accuracy: 7.66% | Validation Loss: 2.9611 | Validation Accuracy: 9.64%
Epoch 2 | Train Loss: 2.9888 | Train Accuracy: 8.18% | Validation Loss: 2.9602 | Validation Accuracy: 9.64%
Epoch 3 | Train Loss: 2.9800 | Train Accuracy: 8.38% | Validation Loss: 2.9593 | Validation Accuracy: 9.64%
Epoch 4 | Train Loss: 2.9747 | Train Accuracy: 8.66% | Validation Loss: 2.9588 | Validation Accuracy: 9.64%
Epoch 5 | Train Loss: 2.9709 | Train Accuracy: 8.91% | Validation Loss: 2.9578 | Validation Accuracy: 9.64%
Epoch 6 | Train Loss: 2.9623 | Train Accuracy: 9.20% | Validation Loss: 2.9184 | Validation Accuracy: 10.99%
Epoch 7 | Train Loss: 2.2806 | Train Accuracy: 33.60% | Validation Loss: 1.2308 | Validation Accuracy: 65.94%
Epoch 8 | Train Loss: 1.0795 | Train Accuracy: 69.50% | Validation Loss: 0.8202 | Validation Accuracy: 77.06%
Epoch 9 | Train Loss: 0.6827 | Train Accuracy: 80.55% | Validation Loss: 0.6940 | Validation Accuracy: 80.63%
Epoch 10 | Train Loss: 0.4787 | Train Accuracy: 86.11% | Validation Loss: 0.6593 | Validation Accuracy: 81.97%
Epoch 11 | Train Loss: 0.3189 | Train Accuracy: 90.70% | Validation Loss: 0.6267 | Validation Accuracy: 83.25%
Epoch 12 | Train Loss: 0.2575 | Train Accuracy: 92.37% | Validation Loss: 0.6277 | Validation Accuracy: 83.55%
Epoch 13 | Train Loss: 0.2221 | Train Accuracy: 93.36% | Validation Loss: 0.6211 | Validation Accuracy: 83.90%
Epoch 14 | Train Loss: 0.1876 | Train Accuracy: 94.31% | Validation Loss: 0.6255 | Validation Accuracy: 84.03%
Epoch 15 | Train Loss: 0.1598 | Train Accuracy: 95.23% | Validation Loss: 0.6375 | Validation Accuracy: 84.04%
Epoch 16 | Train Loss: 0.1397 | Train Accuracy: 95.76% | Validation Loss: 0.6418 | Validation Accuracy: 84.31%
Epoch 17 | Train Loss: 0.1199 | Train Accuracy: 96.29% | Validation Loss: 0.6431 | Validation Accuracy: 84.25%
Epoch 18 | Train Loss: 0.1089 | Train Accuracy: 96.62% | Validation Loss: 0.6458 | Validation Accuracy: 84.26%

=== Cross-Validation Results ===
Fold 1: Best Val Accuracy: 84.47%
Fold 2: Best Val Accuracy: 84.48%
Fold 3: Best Val Accuracy: 84.68%
Fold 4: Best Val Accuracy: 84.55%
Fold 5: Best Val Accuracy: 84.31%

Average Best Val Accuracy: 84.50%
