
================ SNR=10 dB =================
Fold 4, Epoch 4: Train Loss=0.0102, Train Acc=99.77%, Val Loss=0.0124, Val Acc=99.79%, Grad Norm=0.3356
Fold 4, Epoch 5: Train Loss=0.0084, Train Acc=99.84%, Val Loss=0.0086, Val Acc=99.83%, Grad Norm=0.3254
Fold 4, Epoch 6: Train Loss=0.0079, Train Acc=99.85%, Val Loss=0.0190, Val Acc=99.56%, Grad Norm=0.3285
Fold 4, Epoch 7: Train Loss=0.0075, Train Acc=99.85%, Val Loss=0.0104, Val Acc=99.80%, Grad Norm=0.3443
Fold 4, Epoch 8: Train Loss=0.0078, Train Acc=99.84%, Val Loss=0.0193, Val Acc=99.45%, Grad Norm=0.3799
Fold 4, Epoch 9: Train Loss=0.0060, Train Acc=99.90%, Val Loss=0.0025, Val Acc=99.98%, Grad Norm=0.3048
Fold 4, Epoch 10: Train Loss=0.0063, Train Acc=99.87%, Val Loss=0.0140, Val Acc=99.80%, Grad Norm=0.3264
Fold 4, Epoch 11: Train Loss=0.0032, Train Acc=99.97%, Val Loss=0.0196, Val Acc=99.58%, Grad Norm=0.1685
Fold 4, Epoch 12: Train Loss=0.0032, Train Acc=99.96%, Val Loss=0.0030, Val Acc=99.95%, Grad Norm=0.1981
Fold 4, Epoch 13: Train Loss=0.0040, Train Acc=99.94%, Val Loss=0.0036, Val Acc=99.94%, Grad Norm=0.2814
Fold 4, Epoch 14: Train Loss=0.0036, Train Acc=99.96%, Val Loss=0.0019, Val Acc=99.98%, Grad Norm=0.2614
Fold 4, Epoch 15: Train Loss=0.0030, Train Acc=99.97%, Val Loss=0.0012, Val Acc=99.99%, Grad Norm=0.2214
Fold 4, Epoch 16: Train Loss=0.0040, Train Acc=99.94%, Val Loss=0.0025, Val Acc=99.97%, Grad Norm=0.2982
Fold 4, Epoch 17: Train Loss=0.0033, Train Acc=99.96%, Val Loss=0.0038, Val Acc=99.97%, Grad Norm=0.2514
早停，连续 8 个 epoch 验证集未提升
Fold 4 Test Acc=99.98%
Fold 5, Epoch 1: Train Loss=0.0879, Train Acc=97.21%, Val Loss=0.2478, Val Acc=92.21%, Grad Norm=0.8371
Fold 5, Epoch 2: Train Loss=0.0186, Train Acc=99.57%, Val Loss=0.0533, Val Acc=98.46%, Grad Norm=0.3941
Fold 5, Epoch 3: Train Loss=0.0131, Train Acc=99.68%, Val Loss=0.0061, Val Acc=99.85%, Grad Norm=0.3492
Fold 5, Epoch 4: Train Loss=0.0103, Train Acc=99.76%, Val Loss=0.0480, Val Acc=98.47%, Grad Norm=0.3380
Fold 5, Epoch 5: Train Loss=0.0090, Train Acc=99.81%, Val Loss=0.1442, Val Acc=95.20%, Grad Norm=0.3337
Fold 5, Epoch 6: Train Loss=0.0085, Train Acc=99.81%, Val Loss=0.0072, Val Acc=99.87%, Grad Norm=0.3453
Fold 5, Epoch 7: Train Loss=0.0073, Train Acc=99.86%, Val Loss=0.0050, Val Acc=99.93%, Grad Norm=0.3174
Fold 5, Epoch 8: Train Loss=0.0074, Train Acc=99.84%, Val Loss=0.0017, Val Acc=99.98%, Grad Norm=0.3564
Fold 5, Epoch 9: Train Loss=0.0058, Train Acc=99.90%, Val Loss=0.0062, Val Acc=99.89%, Grad Norm=0.2979
Fold 5, Epoch 10: Train Loss=0.0069, Train Acc=99.87%, Val Loss=0.0038, Val Acc=99.92%, Grad Norm=0.3539
Fold 5, Epoch 11: Train Loss=0.0027, Train Acc=99.97%, Val Loss=0.0020, Val Acc=99.98%, Grad Norm=0.1399
Fold 5, Epoch 12: Train Loss=0.0033, Train Acc=99.97%, Val Loss=0.0014, Val Acc=99.98%, Grad Norm=0.2023
Fold 5, Epoch 13: Train Loss=0.0039, Train Acc=99.95%, Val Loss=0.0012, Val Acc=99.98%, Grad Norm=0.2570
Fold 5, Epoch 14: Train Loss=0.0038, Train Acc=99.95%, Val Loss=0.0036, Val Acc=99.96%, Grad Norm=0.2736
Fold 5, Epoch 15: Train Loss=0.0030, Train Acc=99.97%, Val Loss=0.0012, Val Acc=99.99%, Grad Norm=0.2052
Fold 5, Epoch 16: Train Loss=0.0041, Train Acc=99.94%, Val Loss=0.0009, Val Acc=100.00%, Grad Norm=0.3263
Fold 5, Epoch 17: Train Loss=0.0035, Train Acc=99.96%, Val Loss=0.0011, Val Acc=99.99%, Grad Norm=0.2665
Fold 5, Epoch 18: Train Loss=0.0033, Train Acc=99.96%, Val Loss=0.0088, Val Acc=99.83%, Grad Norm=0.2672
Fold 5, Epoch 19: Train Loss=0.0035, Train Acc=99.95%, Val Loss=0.0025, Val Acc=99.96%, Grad Norm=0.2914
Fold 5, Epoch 20: Train Loss=0.0038, Train Acc=99.95%, Val Loss=0.0009, Val Acc=99.99%, Grad Norm=0.3041
Fold 5, Epoch 21: Train Loss=0.0017, Train Acc=99.99%, Val Loss=0.0008, Val Acc=99.99%, Grad Norm=0.1011
Fold 5, Epoch 22: Train Loss=0.0021, Train Acc=99.98%, Val Loss=0.0008, Val Acc=99.99%, Grad Norm=0.1609
Fold 5, Epoch 23: Train Loss=0.0022, Train Acc=99.98%, Val Loss=0.0078, Val Acc=99.80%, Grad Norm=0.1670
Fold 5, Epoch 24: Train Loss=0.0024, Train Acc=99.98%, Val Loss=0.0011, Val Acc=99.99%, Grad Norm=0.2119
早停，连续 8 个 epoch 验证集未提升
Fold 5 Test Acc=99.99%
